family,n,instance,m,gnn_nols,gnn_ls,sdp_bound,rand_ls
erdos_renyi,20,0,25,4.0,21.0,22.471511768838308,22.0
erdos_renyi,20,1,27,5.0,21.0,24.74593791746489,23.0
erdos_renyi,20,2,37,10.0,28.0,30.56782673689168,27.0
erdos_renyi,20,3,22,7.0,17.0,21.204450668922405,19.0
erdos_renyi,20,4,39,2.0,28.0,34.00128378636189,34.0
erdos_renyi,20,5,30,7.0,25.0,26.299089052487233,25.0
erdos_renyi,20,6,27,4.0,22.0,24.04718186260449,22.0
erdos_renyi,20,7,21,6.0,18.0,20.21691900530979,18.0
erdos_renyi,20,8,24,6.0,18.0,22.1271398260661,20.0
erdos_renyi,20,9,28,2.0,21.0,23.771841256040677,21.0
erdos_renyi,20,10,39,7.0,28.0,33.053933642973774,30.0
erdos_renyi,20,11,28,7.0,21.0,23.733713332889995,21.0
erdos_renyi,20,12,26,8.0,22.0,23.598591635551372,21.0
erdos_renyi,20,13,23,5.0,20.0,22.194908808944188,20.0
erdos_renyi,20,14,30,12.0,26.0,27.917058238457876,27.0
erdos_renyi,20,15,23,5.0,20.0,22.03281760463719,19.0
erdos_renyi,20,16,26,6.0,22.0,23.76202150473361,23.0
erdos_renyi,20,17,27,3.0,22.0,24.388990542102775,20.0
erdos_renyi,20,18,35,3.0,28.0,30.303293587892316,25.0
erdos_renyi,20,19,24,3.0,22.0,22.52172872528096,19.0
erdos_renyi,20,20,38,2.0,27.0,30.906039715252582,29.0
erdos_renyi,20,21,26,6.0,21.0,22.80079512967648,19.0
erdos_renyi,20,22,37,5.0,28.0,30.936055804529477,29.0
erdos_renyi,20,23,27,3.0,21.0,24.432310088353177,21.0
erdos_renyi,20,24,32,2.0,21.0,27.90032428209288,23.0
erdos_renyi,20,25,32,15.0,25.0,28.714895274186365,25.0
erdos_renyi,20,26,24,5.0,21.0,22.70484236971583,22.0
erdos_renyi,20,27,22,8.0,19.0,21.050099766453737,20.0
erdos_renyi,20,28,32,3.0,24.0,27.643440752304,22.0
erdos_renyi,20,29,30,4.0,26.0,27.716306445733093,26.0
erdos_renyi,50,0,183,5.0,129.0,141.54691549436058,132.0
erdos_renyi,50,1,174,13.0,122.0,137.7852829150741,127.0
erdos_renyi,50,2,214,96.0,145.0,161.36087226585545,147.0
erdos_renyi,50,3,163,14.0,115.0,130.05037932815034,121.0
erdos_renyi,50,4,179,71.0,124.0,139.35741227287525,124.0
erdos_renyi,50,5,189,73.0,127.0,145.84464484550512,123.0
erdos_renyi,50,6,200,10.0,139.0,152.82040058170475,142.0
erdos_renyi,50,7,179,67.0,125.0,139.89074750629408,125.0
erdos_renyi,50,8,168,5.0,118.0,130.43692112853012,115.0
erdos_renyi,50,9,182,1.0,125.0,143.333535426777,131.0
erdos_renyi,50,10,182,71.0,134.0,142.36050168159642,131.0
erdos_renyi,50,11,167,66.0,121.0,132.20434589244118,119.0
erdos_renyi,50,12,180,12.0,128.0,139.66128773173028,130.0
erdos_renyi,50,13,177,57.0,128.0,138.53922389590332,123.0
erdos_renyi,50,14,167,67.0,119.0,131.1354331789596,116.0
erdos_renyi,50,15,201,55.0,146.0,155.5975887360897,145.0
erdos_renyi,50,16,197,9.0,142.0,152.05342522048173,138.0
erdos_renyi,50,17,178,5.0,126.0,138.32717382365237,125.0
erdos_renyi,50,18,210,90.0,144.0,157.37330951269848,142.0
erdos_renyi,50,19,188,44.0,136.0,144.96367055546602,130.0
erdos_renyi,50,20,212,11.0,154.0,160.84160783596036,147.0
erdos_renyi,50,21,169,3.0,114.0,132.79576900592684,125.0
erdos_renyi,50,22,186,83.0,136.0,144.27143636134196,131.0
erdos_renyi,50,23,163,6.0,113.0,129.66764896347615,113.0
erdos_renyi,50,24,185,12.0,131.0,147.92488669633386,129.0
erdos_renyi,50,25,190,105.0,135.0,146.21188459156338,131.0
erdos_renyi,50,26,169,27.0,117.0,134.62190286590277,122.0
erdos_renyi,50,27,156,76.0,117.0,124.47022105053044,113.0
erdos_renyi,50,28,164,28.0,117.0,132.46580344993197,127.0
erdos_renyi,50,29,181,22.0,129.0,141.38492291976735,124.0
erdos_renyi,100,0,732,452.0,474.0,513.3968686864696,461.0
erdos_renyi,100,1,751,470.0,493.0,530.1177504936403,491.0
erdos_renyi,100,2,816,502.0,535.0,565.5875770488785,521.0
erdos_renyi,100,3,691,439.0,450.0,496.8402323775858,443.0
