family,n,instance,m,prop_n,prop_m,prop_density,prop_avg_degree,prop_max_degree,prop_min_degree,prop_degree_std,prop_clustering_coeff,prop_diameter,prop_avg_path_length,prop_spectral_gap,prop_lambda_max_laplacian,prop_algebraic_connectivity,prop_spectral_radius,prop_lambda_min_adj,prop_n_components,random_cut,random_time,greedy_cut,greedy_time,spectral_cut,spectral_time,gw_cut,gw_time,gw_fallback,gnn_cut,gnn_time,best_classical_cut,gnn_wins,gnn_ties
erdos_renyi,20,0,25,20,25,0.13157894736842105,2.5,4,1,0.7416198487095663,0.0,7,3.1789473684210527,0.23647280911255664,5.636828191701005,0.23647280911255664,2.728821166994686,-2.4556548064045667,1,14.0,0.0004880839987890795,19.0,0.0007604169950354844,22.0,0.0007333749963436276,23.0,0.02887441600614693,False,23.0,0.04033879099733895,23.0,0,1
erdos_renyi,20,1,33,20,33,0.1736842105263158,3.3,7,1,1.7349351572897473,0.16523809523809524,4,2.3789473684210525,0.5276043314243262,9.213120192055262,0.5276043314243262,4.151185318529555,-3.3375775026912984,1,15.0,0.00020216599659761414,26.0,0.0002863750050892122,28.0,0.00044658399565378204,28.0,0.012714917000266723,False,28.0,0.03138041700003669,28.0,0,1
erdos_renyi,20,2,33,20,33,0.1736842105263158,3.3,7,1,1.8466185312619388,0.12357142857142858,5,2.3842105263157896,0.5426915917481945,8.723888130941514,0.5426915917481945,4.24149083417013,-3.0226106443023264,1,18.0,0.0002150410000467673,26.0,0.00029062500107102096,26.0,0.0004396250005811453,28.0,0.01190912500169361,False,27.0,0.030543250002665445,28.0,0,0
erdos_renyi,20,3,35,20,35,0.18421052631578946,3.5,6,1,1.7175564037317668,0.10666666666666666,6,2.531578947368421,0.3380818221794695,8.251369028467016,0.3380818221794695,4.516266087302633,-3.10594984556387,1,17.0,0.00023608400078956038,26.0,0.0002622089959913865,27.0,0.0004322910026530735,29.0,0.01394508399971528,False,29.0,0.0309577910011285,29.0,0,1
erdos_renyi,20,4,25,20,25,0.13157894736842105,2.5,5,1,1.3601470508735443,0.0,7,3.0105263157894737,0.16352578570752246,6.983536239260008,0.16352578570752246,3.284974760217457,-2.8841620607186718,1,16.0,0.0002115419993060641,22.0,0.0002695420043892227,23.0,0.000548541996977292,23.0,0.015127541999390814,False,23.0,0.03162562500074273,23.0,0,1
erdos_renyi,20,5,37,20,37,0.19473684210526315,3.7,7,1,1.6462077633154328,0.1857142857142857,5,2.278947368421053,0.3658811046557341,9.333886634558066,0.3658811046557341,4.471493299092439,-3.350949319643388,1,18.0,0.0002059580001514405,28.0,0.00030125000193947926,30.0,0.0004551250021904707,31.0,0.012922959002025891,False,30.0,0.03166775000136113,31.0,0,0
erdos_renyi,20,6,30,20,30,0.15789473684210525,3.0,7,1,1.3416407864998738,0.05142857142857142,6,2.6157894736842104,0.32345012392837025,8.501117899040842,0.32345012392837025,3.6959236250734917,-3.049768826926166,1,18.0,0.00019920799968531355,25.0,0.0002475420042173937,25.0,0.00043570800335146487,25.0,0.01623545799520798,False,25.0,0.0352130409955862,25.0,0,1
erdos_renyi,20,7,29,20,29,0.15263157894736842,2.9,7,1,1.4798648586948744,0.1480952380952381,7,2.963157894736842,0.16200378264643847,8.65056698326492,0.16200378264643847,3.81076574189064,-3.3457303125231914,1,15.0,0.00022458300372818485,22.0,0.00024729200231377035,25.0,0.00043250000453554094,25.0,0.018326958997931797,False,24.0,0.029619417000503745,25.0,0,0
erdos_renyi,20,8,26,20,26,0.1368421052631579,2.6,6,1,1.4628738838327793,0.08499999999999999,7,3.0842105263157893,0.12410689704651581,7.918588330491267,0.12410689704651581,3.6218310401093383,-2.8594313420688016,1,13.0,0.0002296250022482127,20.0,0.00027204099751543254,23.0,0.0004855419974774122,23.0,0.01579854099691147,False,23.0,0.03096979099791497,23.0,0,1
erdos_renyi,20,9,28,20,28,0.14736842105263157,2.8,5,1,1.2083045973594573,0.13,6,2.9842105263157896,0.17593723111294213,6.9893394563525195,0.17593723111294213,3.4960859175249483,-2.777861787494896,1,11.0,0.00022108400298748165,23.0,0.00027587499789660797,23.0,0.00044558299850905314,24.0,0.01609045900113415,False,24.0,0.03071766700304579,24.0,0,1
erdos_renyi,20,10,25,20,25,0.13157894736842105,2.5,6,1,1.3228756555322954,0.06999999999999999,8,3.205263157894737,0.1576356677123544,7.392269943868483,0.1576356677123544,3.295858548597497,-2.758227981881796,1,16.0,0.00020595900423359126,21.0,0.0002420840028207749,23.0,0.0004452499997569248,23.0,0.014513499998429324,False,23.0,0.03121645800274564,23.0,0,1
