epoch,avg_loss
1,-11763.793511284723
2,-11771.899003286211
3,-11772.209542410714
4,-11772.583899119543
5,-11772.67544797867
6,-11871.719943576389
7,-12632.247178819445
8,-12857.529327876984
9,-13175.95707000248
10,-13306.958751860118
11,-13464.410698784723
12,-13432.987072172618
13,-13567.676168774802
14,-13592.376968625993
15,-13562.41248139881
16,-13697.143508184523
17,-13700.2921859499
18,-13764.51160249256
19,-13891.108785962302
20,-13850.200753348214
21,-13903.216122581845
22,-13888.319444444445
23,-14023.586704799107
24,-14022.02820405506
25,-14068.768275669643
26,-14075.957573784723
27,-14131.735475570436
28,-14178.25013950893
29,-14059.839053199405
30,-14213.005890376984
31,-14197.753022693452
32,-14231.698474702382
33,-14272.794890873016
34,-14258.953249007936
35,-14297.690344432043
36,-14270.801013764882
37,-14359.603717137898
38,-14419.459495907739
39,-14419.271360367064
40,-14381.75864955357
41,-14491.680865575398
42,-14484.372860863095
43,-14471.777529761905
44,-14521.897445436507
45,-14520.73408048115
46,-14541.809461805555
47,-14581.42785063244
48,-14643.338642423116
49,-14633.24376860119
50,-14673.264361669148
51,-14688.012641059027
52,-14669.58150421627
53,-14696.061321924602
54,-14706.101609002977
55,-14735.717385912698
56,-14744.72529141865
57,-14757.941716269841
58,-14788.310593377977
59,-14773.809314546132
60,-14780.601624503968
61,-14792.3857421875
62,-14782.55318390377
63,-14796.935531374007
64,-14814.670231894841
65,-14826.758587549602
66,-14829.805586557539
67,-14836.738273499504
68,-14845.046378968254
69,-14863.66259765625
70,-14851.58560422867
71,-14850.034489707341
72,-14862.77080233135
73,-14867.9949234251
74,-14872.564995659723
75,-14872.952582465277
76,-14873.147383432539
77,-14882.010416666666
78,-14875.579303075398
79,-14876.158877418155
80,-14875.261687748016
