epoch,avg_reward,ema_reward
1,-0.8049635,-0.8049635
2,-0.77702874,-0.80217004
3,-0.8031729,-0.8022703
4,-0.8091039,-0.8029536
5,-0.7882489,-0.8014831
6,-0.79620016,-0.80095476
7,-0.8179398,-0.80265325
8,-0.7901237,-0.8014003
9,-0.8008305,-0.8013433
10,-0.81809235,-0.8030182
11,-0.79688805,-0.8024052
12,-0.7799631,-0.80016094
13,-0.79995596,-0.8001404
14,-0.7942382,-0.7995502
15,-0.77640915,-0.797236
16,-0.78815603,-0.796328
17,-0.80796134,-0.7974913
18,-0.78647786,-0.79638994
19,-0.81517243,-0.79826814
20,-0.8086418,-0.7993055
21,-0.7964233,-0.7990173
22,-0.8152951,-0.80064505
23,-0.81338453,-0.801919
24,-0.78721505,-0.8004486
25,-0.7806669,-0.79847044
26,-0.79966295,-0.7985897
27,-0.7959587,-0.79832655
28,-0.80202764,-0.79869664
29,-0.8016006,-0.79898703
30,-0.8066121,-0.7997495
31,-0.78797555,-0.7985721
32,-0.81586105,-0.800301
33,-0.7980049,-0.80007136
34,-0.7924082,-0.799305
35,-0.81376725,-0.8007512
36,-0.8104338,-0.8017194
37,-0.7873282,-0.80028033
38,-0.78330797,-0.7985831
39,-0.8046558,-0.79919034
40,-0.80774164,-0.8000455
41,-0.7995569,-0.7999966
42,-0.80331194,-0.80032814
43,-0.8016268,-0.800458
44,-0.8164458,-0.8020568
45,-0.79143167,-0.8009943
46,-0.8174206,-0.80263686
47,-0.7955102,-0.80192417
48,-0.80766875,-0.8024986
49,-0.7967777,-0.80192643
50,-0.7881588,-0.8005496
